datetime,open,high,low,close
2026-08-15 00:55:00,4381.57161,4382.69711,4380.96907,4381.06638
2026-08-15 01:00:00,4381.18352,4388.58412,4381.08897,4388.29073
2026-08-15 01:05:00,4387.78567,4389.04494,4387.11389,4388.9296
2026-08-15 01:10:00,4388.76336,4393.35667,4385.69807,4392.73565
2026-08-15 01:15:00,4391.16298,4394.52298,4387.05556,4387.8774
2026-08-15 01:20:00,4389.35057,4389.35057,4384.31674,4384.52097
2026-08-15 01:25:00,4384.88682,4384.95877,4379.24239,4383.70854
2026-08-15 01:30:00,4383.14587,4387.11942,4383.14587,4386.6252
2026-08-15 01:35:00,4385.54958,4389.81563,4385.38495,4387.92633
2026-08-15 01:40:00,4388.24036,4389.54224,4386.54379,4386.98471
2026-08-15 01:45:00,4387.78503,4394.83168,4387.78503,4394.68931
2026-08-15 01:50:00,4394.43815,4394.43815,4391.62107,4392.01273
2026-08-15 01:55:00,4392.45885,4392.90107,4390.45812,4391.92205
2026-08-15 02:00:00,4391.82063,4395.45613,4390.97216,4392.34822
2026-08-15 02:05:00,4392.72527,4392.72527,4390.09047,4390.60282
2026-08-15 02:10:00,4391.40839,4391.40839,4389.43025,4389.57691
2026-08-15 02:15:00,4389.70023,4391.74352,4389.46749,4391.50695
2026-08-15 02:20:00,4391.50221,4393.06175,4390.23891,4390.5345
2026-08-15 02:25:00,4391.11592,4391.11592,4387.31189,4387.68965
2026-08-15 02:30:00,4387.64306,4387.6969,4381.54493,4381.81371
2026-08-15 02:35:00,4382.4231,4388.73853,4381.72755,4388.01114
2026-08-15 02:40:00,4386.26009,4389.43025,4386.15729,4386.60341
2026-08-15 02:45:00,4386.88014,4386.88014,4385.95436,4386.71523
2026-08-15 02:50:00,4386.56669,4387.0482,4385.85528,4386.9877
2026-08-15 02:55:00,4386.84979,4386.84979,4385.19558,4385.33372
2026-08-15 03:00:00,4385.59525,4387.44641,4382.8892,4383.82244
2026-08-15 03:05:00,4383.68853,4384.56415,4381.73692,4382.50878
2026-08-15 03:10:00,4382.37522,4383.45677,4380.58525,4380.85059
2026-08-15 03:15:00,4380.77568,4385.7807,4379.45146,4382.00749
2026-08-15 03:20:00,4382.0463,4382.50504,4380.77715,4382.20652
2026-08-15 03:25:00,4382.08703,4382.43286,4379.97638,4380.17962
2026-08-15 03:30:00,4380.54213,4382.12095,4379.07085,4381.57229
2026-08-15 03:35:00,4381.46854,4382.3844,4380.00964,4380.30128
2026-08-15 03:40:00,4380.32343,4380.82918,4377.70871,4377.94802
2026-08-15 03:45:00,4378.38083,4378.38083,4376.55915,4376.60001
2026-08-15 03:50:00,4376.73913,4379.24239,4376.58631,4379.07258
2026-08-15 03:55:00,4378.7203,4378.7203,4377.51707,4377.7778
2026-08-15 04:00:00,4377.7012,4380.39907,4376.94227,4379.63398
2026-08-15 04:05:00,4378.32958,4382.35785,4378.32958,4379.87153
2026-08-15 04:10:00,4379.87424,4380.97537,4377.32545,4377.44274
2026-08-15 04:15:00,4377.62938,4378.64,4377.13385,4378.52432
2026-08-15 04:20:00,4378.27947,4380.20149,4378.27947,4379.33451
2026-08-15 04:25:00,4379.42354,4380.02217,4378.66713,4378.84209
2026-08-15 04:30:00,4379.13381,4379.87845,4377.13385,4378.26813
